Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic1 	3.0   	0     	38    	100.0%
topic10	4.0   	1     	94    	100.0%
topic11	5.0   	1     	99    	100.0%
topic12	4.0   	1     	94    	100.0%
topic13	6.0   	1     	107   	100.0%
topic14	5.0   	1     	91    	100.0%
topic15	4.0   	1     	41    	100.0%
topic16	4.0   	1     	65    	100.0%
topic17	6.0   	1     	91    	100.0%
topic18	5.0   	1     	96    	100.0%
topic19	5.0   	1     	90    	100.0%
topic2 	3.0   	1     	49    	100.0%
topic20	3.0   	1     	51    	100.0%
topic21	2.0   	1     	45    	100.0%
topic22	3.0   	1     	50    	100.0%
topic23	3.0   	1     	68    	100.0%
topic24	3.0   	1     	63    	100.0%
topic25	2.0   	1     	52    	100.0%
topic26	2.0   	1     	57    	100.0%
topic27	3.0   	1     	67    	100.0%
topic28	3.0   	1     	73    	100.0%
topic29	2.0   	1     	55    	100.0%
topic3 	3.0   	1     	30    	100.0%
topic30	2.0   	0     	34    	100.0%
topic31	2.0   	1     	32    	100.0%
topic32	2.0   	1     	33    	100.0%
topic33	4.0   	1     	42    	100.0%
topic34	3.0   	1     	30    	100.0%
topic35	4.0   	1     	67    	100.0%
topic36	3.0   	1     	48    	100.0%
topic37	3.0   	1     	29    	100.0%
topic38	3.0   	1     	28    	100.0%
topic39	3.0   	1     	22    	100.0%
topic4 	2.0   	1     	53    	100.0%
topic40	4.0   	1     	66    	100.0%
topic41	4.0   	1     	59    	100.0%
topic42	5.0   	1     	50    	100.0%
topic43	5.0   	1     	42    	100.0%
topic44	6.0   	1     	62    	100.0%
topic45	7.0   	1     	65    	100.0%
topic46	10.0  	1     	76    	100.0%
topic47	11.0  	1     	81    	100.0%
topic48	14.0  	1     	83    	100.0%
topic49	14.0  	1     	93    	100.0%
topic5 	2.0   	0     	48    	100.0%
topic6 	2.0   	1     	48    	100.0%
topic7 	3.0   	1     	24    	100.0%
topic8 	3.0   	0     	44    	100.0%
topic9 	2.0   	0     	44    	100.0%
Total Avg delay: 4.16 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	11.0  	0     	201   	100.0%
topic1 	14.0  	1     	180   	100.0%
topic10	10.0  	1     	270   	100.0%
topic11	13.0  	1     	245   	100.0%
topic12	15.0  	1     	229   	100.0%
topic13	18.0  	1     	226   	100.0%
topic14	20.0  	1     	151   	100.0%
topic15	20.0  	1     	216   	100.0%
topic16	21.0  	1     	255   	100.0%
topic17	21.0  	1     	233   	100.0%
topic18	20.0  	1     	278   	100.0%
topic19	8.0   	1     	167   	100.0%
topic2 	15.0  	1     	113   	100.0%
topic20	18.0  	1     	145   	100.0%
topic21	20.0  	1     	223   	100.0%
topic22	17.0  	1     	119   	100.0%
topic23	7.0   	1     	113   	100.0%
topic24	10.0  	1     	213   	100.0%
topic25	12.0  	1     	210   	100.0%
topic26	13.0  	1     	178   	100.0%
topic27	17.0  	1     	136   	100.0%
topic28	17.0  	1     	135   	100.0%
topic29	14.0  	1     	157   	100.0%
topic3 	15.0  	1     	67    	100.0%
topic30	7.0   	1     	82    	100.0%
topic31	11.0  	1     	215   	100.0%
topic32	12.0  	1     	210   	100.0%
topic33	16.0  	1     	198   	100.0%
topic34	18.0  	0     	179   	100.0%
topic35	5.0   	1     	112   	100.0%
topic36	19.0  	1     	99    	100.0%
topic37	18.0  	1     	161   	100.0%
topic38	19.0  	1     	199   	100.0%
topic39	6.0   	1     	113   	100.0%
topic4 	16.0  	1     	218   	100.0%
topic40	9.0   	1     	159   	100.0%
topic41	13.0  	1     	159   	100.0%
topic42	13.0  	1     	168   	100.0%
topic43	14.0  	1     	196   	100.0%
topic44	16.0  	1     	213   	100.0%
topic45	14.0  	1     	121   	100.0%
topic46	18.0  	1     	206   	100.0%
topic47	19.0  	1     	190   	100.0%
topic48	19.0  	1     	177   	100.0%
topic49	17.0  	1     	199   	100.0%
topic5 	18.0  	1     	176   	100.0%
topic6 	18.0  	1     	155   	100.0%
topic7 	6.0   	1     	62    	100.0%
topic8 	6.0   	1     	53    	100.0%
topic9 	6.0   	1     	53    	100.0%
Total Avg delay: 14.38 ms
